0,0,25,25.5,0,22,0,22.1,0,0,0,0,0,5.4,0,0,0,12.58424065,164.514,2112.095,4.922,300,5430,Al0.25MoNbTiV,1250
0,0,0,25,22.5,25,0,22.4,0,0,0,0,0,5.1,0,0,0,12.6020416,154.716,2176.575,4.648,300,5430,Al0.25MoNbTiV,1330
0,0,0,26,28.9,21.1,0,0,0,19,0,0,0,5,0,0,0,12.49339224,146.319,2253.331,4.499,300,5400,Al0.25MoNbTiZr,1745
0,0,0,24.8,25.8,24.1,0,0,0,20.1,0,0,0,5.2,0,0,0,12.59227995,142.5331,2201.845,4.454,1273,5400,Al0.25MoNbTiZr,366
0,0,23.81,0,23.81,23.81,0,23.81,0,0,0,0,0,4.76,0,0,0,12.56897782,170.2876,2226.2218,4.9048,300,5433,Al0.2MoTaTiV,1021
0,18.9,0,18.9,18.9,18.9,0,0,0,18.9,0,0,0,5.5,0,0,0,14.41652007,132.9079,2162.55,4.323,300,5560,Al0.3HfNbTaTiZr,1188
0,0,0,22.2,12.6,27.7,0,2.5,0,27.8,0,0,0,5.1,0,0,0,12.89246368,126.6118,1989.172,4.238,300,5470,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,1965
0,0,0,18.4,10.7,27.7,0,4.5,0,32.4,0,0,0,6.3,0,0,0,13.17917565,124.6544,1969.173,4.273,1273,5470,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,166
0,0,0,22.5,12.3,26.5,0,4.6,0,28.9,0,0,0,5.2,0,0,0,13.29842846,129.6399,2028.711,4.342,1073,5470,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,678
0,0,0,22.9,16.8,27.7,0,0,0,26.7,0,0,0,5.9,0,0,0,12.57471711,131.8077,2070.35,4.338,300,5400,Al0.3NbTaTi1.4Zr1.3,1965
0,0,0,19.4,14.7,27.6,0,0,0,31.9,0,0,0,6.2,0,0,0,12.40667044,126.5129,2017.07,4.271,1273,5400,Al0.3NbTaTi1.4Zr1.3,236
0,0,0,24.4,18.2,26.3,0,0,0,25.8,0,0,0,5.2,0,0,0,12.54495504,134.2658,2105.076,4.37,1073,5400,Al0.3NbTaTi1.4Zr1.3,362
0,12.8,0,23,16.8,18.9,0,0,0,20.6,0,0,0,7.9,0,0,0,14.48129945,132.3406,2111.912,4.319,300,5515,Al0.4Hf0.6NbTaTiZr,1841
0,12.7,0,22.1,15.7,18.7,0,0,0,22.6,0,0,0,8.2,0,0,0,14.47645719,130.3306,2089.943,4.296,1273,5515,Al0.4Hf0.6NbTaTiZr,298
0,12.4,0,23.1,16.2,18.4,0,0,0,22.6,0,0,0,7.3,0,0,0,14.39122415,131.6866,2112.155,4.32,1073,5515,Al0.4Hf0.6NbTaTiZr,796
0,5.4,0,10.1,6.1,34.7,0,0,0,37.5,0,0,0,6.2,0,0,0,12.19956962,112.3545,1870.137,4.1,300,5515,Al0.4Hf0.6NbTaTiZr,1841
0,15.1,0,15.4,13.9,21.8,0,0,0,24.3,0,0,0,9.4,0,0,0,14.51671896,123.8513,2014.433,4.195,1473,5515,Al0.4Hf0.6NbTaTiZr,89
0,7.2,0,10.9,6.5,30.5,0,0,0,36.5,0,0,0,8.4,0,0,0,12.86084357,112.6355,1868.129,4.09,1273,5515,Al0.4Hf0.6NbTaTiZr,298
0,6.9,0,10.4,6.3,32.5,0,0,0,36.1,0,0,0,7.8,0,0,0,12.68889458,112.4351,1864.991,4.089,1073,5515,Al0.4Hf0.6NbTaTiZr,796
18.4,0,0,22.1,0,38.8,0,8.8,0,0,0,0,0,11.9,0,0,0,12.30231492,132.814,1792.109,4.558,300,6625,Al0.5CrNbTi2V0.5,1340
20.8,0,0,18.2,0,40.6,0,9.1,0,0,0,0,0,11.3,0,0,0,12.19866623,132.028,1773.068,4.576,300,6625,Al0.5CrNbTi2V0.5,1240
18.4,0,0,20,0,40.1,0,8.9,0,0,0,0,0,12.3,0,0,0,12.24604887,131.138,1766.326,4.522,1273,6625,Al0.5CrNbTi2V0.5,90
48.8,0,0,20.3,0,18.3,0,9.3,0,0,0,0,0,3.3,0,0,0,10.95891075,150.108,1938.101,5.239,1073,6625,Al0.5CrNbTi2V0.5,445
19.6,0,0,20.2,0,39.5,0,9,0,0,0,0,0,11.7,0,0,0,12.28182714,132.442,1782.106,4.567,873,6625,Al0.5CrNbTi2V0.5,930
0,18.2,0,18.2,18.2,18.2,0,0,0,18.2,0,0,0,9,0,0,0,14.69277182,130.8002,2106.9,4.274,300,5478,Al0.5HfNbTaTiZr,1302
0,0,11.2,24.5,13.6,21.4,0,0,0,19.5,0,0,0,9.8,0,0,0,14.44622329,143.3625,2094.31,4.507,300,5590,Al0.5Mo0.5NbTa0.5TiZr,2350
0,0,11.4,24.2,13.1,22.2,0,0,0,19.9,0,0,0,9.2,0,0,0,14.40144808,143.1009,2093.844,4.509,1273,5590,Al0.5Mo0.5NbTa0.5TiZr,579
0,0,25.6,24.3,0,19.9,0,20.4,0,0,0,0,0,9.8,0,0,0,13.01871914,162.168,2059.651,4.861,300,5510,Al0.5MoNbTiV,1625
0,0,0,22,13.1,28.2,0,4.7,0,20.6,0,0,0,11.4,0,0,0,13.91067836,129.5706,1957.683,4.284,300,5520,Al0.5NbTa0.8Ti1.5V0.2Zr,2035
0,0,0,22.3,13.1,27.9,0,4.5,0,20.9,0,0,0,11.3,0,0,0,13.88649995,129.6279,1961.195,4.286,1273,5520,Al0.5NbTa0.8Ti1.5V0.2Zr,220
